Name,Tier,Category
All Credential Types,Tier 1,Generic credential detector
Client secret / API key,Tier 1,Generic credential detector
General password,Tier 1,Generic credential detector
General Symmetric key,Tier 1,Generic credential detector
Http authorization header,Tier 1,Generic credential detector
SQL Server connection string,Tier 1,Generic credential detector
User login credentials,Tier 1,Generic credential detector
X.509 certificate private key,Tier 1,Generic credential detector
Amazon S3 Client Secret Access Key,Tier 2,Cloud provider secret
ASP.NET machine Key,Tier 2,Application secret
Azure App Service deployment password,Tier 2,Azure secret
Azure Batch shared access key,Tier 2,Azure secret
Azure Bot Framework secret key,Tier 2,Azure secret
Azure Bot service app secret,Tier 2,Azure secret
Azure Cognitive Search API key,Tier 2,Azure secret
Azure Cognitive Service key,Tier 2,Azure secret
Azure Container Registry access key,Tier 2,Azure secret
Azure Cosmos DB account access key,Tier 2,Azure secret
Azure Databricks personal access token,Tier 2,Azure secret
Azure DevOps app secret,Tier 2,Azure secret
Azure DevOps personal access token,Tier 2,Azure secret
Azure DocumentDB auth key,Tier 2,Azure secret
Azure EventGrid access key,Tier 2,Azure secret
Azure Function Master / API key,Tier 2,Azure secret
Azure IAAS database connection string and Azure SQL connection string,Tier 2,Azure secret
Azure IoT connection string,Tier 2,Azure secret
Azure IoT shared access key,Tier 2,Azure secret
Azure Logic app shared access signature,Tier 2,Azure secret
Azure Machine Learning web service API key,Tier 2,Azure secret
Azure Maps subscription key,Tier 2,Azure secret
Azure publish setting password,Tier 2,Azure secret
Azure Redis cache connection string,Tier 2,Azure secret
Azure Redis cache connection string password,Tier 2,Azure secret
Azure SAS,Tier 2,Azure secret
Azure service bus connection string,Tier 2,Azure secret
Azure service bus shared access signature,Tier 2,Azure secret
Azure Shared Access key / Web Hook token,Tier 2,Azure secret
Azure SignalR access key,Tier 2,Azure secret
Azure SQL connection string,Tier 2,Azure secret
Azure storage account access key,Tier 2,Azure secret
Azure storage account key,Tier 2,Azure secret
Azure Storage account key (generic),Tier 2,Azure secret
Azure Storage account shared access signature,Tier 2,Azure secret
Azure Storage account shared access signature for high risk resources,Tier 2,Azure secret
Azure subscription management certificate,Tier 2,Azure secret
GitHub Personal Access Token,Tier 2,Source control secret
Google API key,Tier 2,Cloud provider secret
Microsoft Bing maps key,Tier 2,Cloud provider secret
Microsoft Entra client access token,Tier 2,Identity secret
Microsoft Entra client secret,Tier 2,Identity secret
Microsoft Entra user Credentials,Tier 2,Identity secret
Slack access token,Tier 2,Collaboration platform secret
